group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,198616,train,34,6,1,6 7 6 5 4 3 2 1 10 1,10,381 400 784 328 344 648 376 464 464 488 280 448 624,37 37 39 39 39 38 38 38 38 37 37 39 32,1 3 4 6 7 8 10 11 12,6029,1551386965.135,Thu Feb 28 2019 15:49:25 GMT-0500 (Eastern Standard Time)
A,198616,train,35,1,2,1 2,2,1435 1647,39 32,1,3082,1551386974.223,Thu Feb 28 2019 15:49:34 GMT-0500 (Eastern Standard Time)
A,198616,train,36,2,3,2 3,2,799 1032,40 32,1,1831,1551386982.062,Thu Feb 28 2019 15:49:42 GMT-0500 (Eastern Standard Time)
A,198616,train,37,4,5,4 5,2,15754 335 680,40 40 32,1,16769,1551387004.837,Thu Feb 28 2019 15:50:04 GMT-0500 (Eastern Standard Time)
A,198616,train,38,10,7,10 9 8 7,4,890 392 328 584,40 40 40 32,1 2 3,2194,1551387013.036,Thu Feb 28 2019 15:50:13 GMT-0500 (Eastern Standard Time)
A,198616,train,39,4,7,4 5 6 5 4 3 2 1 10 9 8 7,12,461 1831 1216 520 768 568 480 968 561 1151 816 472 480 976,40 37 39 39 38 38 38 38 37 37 40 40 40 32,1 2 3 5 6 7 9 10 11 12 13,11268,1551387030.311,Thu Feb 28 2019 15:50:30 GMT-0500 (Eastern Standard Time)
A,198616,train,40,10,3,10 9 8 7 6 5 4 3 2 3,10,5546 303 376 376 312 280 368 392 256 272 544 792,40 40 40 40 39 39 39 38 38 38 40 32,1 2 3 5 6 8 9 10 11,9817,1551387046.133,Thu Feb 28 2019 15:50:46 GMT-0500 (Eastern Standard Time)
A,198616,train,41,10,7,10 9 8 7,4,1132 430 440 728,40 40 40 32,1 2 3,2730,1551387054.869,Thu Feb 28 2019 15:50:54 GMT-0500 (Eastern Standard Time)
A,198616,train,42,2,3,2 3,2,985 536,40 32,1,1521,1551387062.396,Thu Feb 28 2019 15:51:02 GMT-0500 (Eastern Standard Time)
A,198616,train,43,4,5,4 5,2,747 1520,40 32,1,2267,1551387070.668,Thu Feb 28 2019 15:51:10 GMT-0500 (Eastern Standard Time)
A,198616,train,44,4,5,4 3 2 1 10 9 8 7 6 5,10,666 376 376 640 384 748 216 336 448 464 232 624,38 38 38 37 37 40 40 40 40 39 39 32,1 2 4 5 6 7 8 10 11,5510,1551387082.183,Thu Feb 28 2019 15:51:22 GMT-0500 (Eastern Standard Time)
A,198616,train,45,6,3,6 5 4 3 2 3,6,1880 479 536 304 376 480 264,39 39 38 38 38 40 32,1 3 4 5 6,4319,1551387092.511,Thu Feb 28 2019 15:51:32 GMT-0500 (Eastern Standard Time)
A,198616,train,46,4,5,4 5,2,480 1415,40 32,1,1895,1551387100.414,Thu Feb 28 2019 15:51:40 GMT-0500 (Eastern Standard Time)
A,198616,train,47,4,5,4 5,2,810 912,40 32,1,1722,1551387108.142,Thu Feb 28 2019 15:51:48 GMT-0500 (Eastern Standard Time)
A,198616,train,48,7,6,7 6,2,886 1113,39 32,1,1999,1551387116.15,Thu Feb 28 2019 15:51:56 GMT-0500 (Eastern Standard Time)
A,198616,train,49,5,8,5 6 7 8 9 8,6,576 416 704 328 471 665,37 37 38 38 40 32,1 2 3 4 5,3160,1551387125.317,Thu Feb 28 2019 15:52:05 GMT-0500 (Eastern Standard Time)
A,198616,train,50,2,3,2 3,2,1521 1064,40 32,1,2585,1551387133.908,Thu Feb 28 2019 15:52:13 GMT-0500 (Eastern Standard Time)
A,198616,train,51,2,3,2 3,2,497 944,40 32,1,1441,1551387141.359,Thu Feb 28 2019 15:52:21 GMT-0500 (Eastern Standard Time)
A,198616,train,52,2,3,2 3,2,507 679,40 32,1,1186,1551387148.551,Thu Feb 28 2019 15:52:28 GMT-0500 (Eastern Standard Time)
A,198616,train,53,2,3,2 3,2,1234 408,40 32,1,1642,1551387156.198,Thu Feb 28 2019 15:52:36 GMT-0500 (Eastern Standard Time)
A,198616,train,54,10,7,10 9 8 7,4,515 408 400 456,40 40 40 32,1 2 3,1779,1551387163.982,Thu Feb 28 2019 15:52:43 GMT-0500 (Eastern Standard Time)
A,198616,train,55,2,3,2 3,2,898 439,40 32,1,1337,1551387171.325,Thu Feb 28 2019 15:52:51 GMT-0500 (Eastern Standard Time)
A,198616,train,56,10,7,10 9 8 7,4,511 512 536 936,40 40 40 32,1 2 3,2495,1551387179.829,Thu Feb 28 2019 15:52:59 GMT-0500 (Eastern Standard Time)
A,198616,train,57,6,7,6 5 6 7,4,730 1679 392 816,39 37 37 32,1 2 3,3617,1551387189.453,Thu Feb 28 2019 15:53:09 GMT-0500 (Eastern Standard Time)
A,198616,train,58,4,5,4 3 2 1 2 3 4 5,8,969 344 440 400 816 712 272 424 707,38 38 38 37 39 40 40 40 32,1 2 4 5 6 7 8,5084,1551387200.543,Thu Feb 28 2019 15:53:20 GMT-0500 (Eastern Standard Time)
A,198616,train,59,1,7,1 10 9 8 7,5,601 440 504 376 416 528,37 37 40 40 40 32,1 3 4 5,2865,1551387209.415,Thu Feb 28 2019 15:53:29 GMT-0500 (Eastern Standard Time)
A,198616,train,60,4,1,4 5 6 7 8 9 10 1 2 1,10,728 840 705 279 384 336 232 328 408 320 256 672 256,40 40 37 37 37 38 38 38 38 39 39 37 32,1 3 4 6 7 8 10 11 12,5744,1551387221.166,Thu Feb 28 2019 15:53:41 GMT-0500 (Eastern Standard Time)
A,198616,train,61,4,5,4 5,2,738 775,40 32,1,1513,1551387228.686,Thu Feb 28 2019 15:53:48 GMT-0500 (Eastern Standard Time)
A,198616,train,62,7,3,7 8 9 10 1 2 3,7,538 744 376 424 336 312 416 553 575,38 38 38 38 39 39 39 40 32,1 2 3 5 6 8,4274,1551387238.965,Thu Feb 28 2019 15:53:58 GMT-0500 (Eastern Standard Time)
A,198616,train,63,10,7,10 9 8 7,4,698 1096 503 793,40 40 40 32,1 2 3,3090,1551387248.061,Thu Feb 28 2019 15:54:08 GMT-0500 (Eastern Standard Time)
A,198616,train,64,6,4,6 5 4 3 4,5,619 1207 296 568 272,39 38 38 40 32,1 2 3 4,2962,1551387257.028,Thu Feb 28 2019 15:54:17 GMT-0500 (Eastern Standard Time)
A,198616,train,65,10,7,10 1 10 9 8 7,6,745 920 312 408 352 4535,39 37 40 40 40 32,1 2 3 4 5,7272,1551387270.311,Thu Feb 28 2019 15:54:30 GMT-0500 (Eastern Standard Time)
