A,171889,test,36,1,3,1 2 3,3,2869 1946 1216,39 40 32,1 2,6031,1551499844.303,Fri Mar 01 2019 23:10:44 GMT-0500 (Eastern Standard Time)
A,171889,test,37,10,7,10 9 8 7,4,454 1434 251 1440 883 642,38 40 37 40 40 32,2 4 5,5104,1551499855.414,Fri Mar 01 2019 23:10:55 GMT-0500 (Eastern Standard Time)
A,171889,test,38,10,7,10 9 8 7,4,33 287 313 562,40 40 40 32,1 2 3,1195,1551499862.614,Fri Mar 01 2019 23:11:02 GMT-0500 (Eastern Standard Time)
A,171889,test,39,4,6,4 5 6,3,324 211 507,40 37 32,1 2,1042,1551499869.662,Fri Mar 01 2019 23:11:09 GMT-0500 (Eastern Standard Time)
A,171889,test,40,8,4,8 9 10 1 2 3 4,7,1089 514 1704 429 935 386 790,38 38 39 39 40 40 32,1 2 3 4 5 6,5847,1551499881.515,Fri Mar 01 2019 23:11:21 GMT-0500 (Eastern Standard Time)
A,171889,test,41,1,3,1 2 3,3,300 225 862,39 40 32,1 2,1387,1551499888.909,Fri Mar 01 2019 23:11:28 GMT-0500 (Eastern Standard Time)
A,171889,test,42,4,6,4 5 6,3,312 210 445,40 37 32,1 2,967,1551499895.881,Fri Mar 01 2019 23:11:35 GMT-0500 (Eastern Standard Time)
A,171889,test,43,4,6,4 5 6,3,1981 224 461,40 37 32,1 2,2666,1551499904.552,Fri Mar 01 2019 23:11:44 GMT-0500 (Eastern Standard Time)
A,171889,test,44,1,3,1 2 3,3,1617 191 502,39 40 32,1 2,2310,1551499912.866,Fri Mar 01 2019 23:11:52 GMT-0500 (Eastern Standard Time)
A,171889,test,45,10,7,10 1 2 1 10 9 8 7,8,614 268 460 527 225 408 293 290 436 773,39 39 39 37 37 37 40 40 40 32,1 2 4 5 7 8 9,4294,1551499923.168,Fri Mar 01 2019 23:12:03 GMT-0500 (Eastern Standard Time)
A,171889,test,46,10,7,10 9 8 7,4,1188 356 406 599,40 40 40 32,1 2 3,2549,1551499931.725,Fri Mar 01 2019 23:12:11 GMT-0500 (Eastern Standard Time)
